Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22",C0805,3,10u,C15850
"C10, C11, C3, C4",C0402,4,1u,C52923
"C12, C13, C14, C15, C16, C17, C18, C21, C23, C5, C6, C7, C8, C9",C0402,14,100n,C307331
"C19, C20",C0402,2,18p,C1549
"CH1, CH2, CH3, CH4",SW_choc_v1_1u,4,choc_v1_SW_solder,
D1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BL-1,1,BAW56,C7502729
"J1, J3",PinHeader_1x02_P2.54mm_Vertical,2,2pin,
J2,tft 1.3,1,1.3_tft,
"LED1, LED2",LED_choc_6028R,2,choc_SK6812MINI-E,C5149201
"LED3, LED4",LED_choc_6028R-ROT,2,choc_SK6812MINI-E,C5149201
"R1, R10, R12, R2, R7, R9",R0402,6,5.1K,C25905
R11,R0402,1,1M,C26083
"R13, R3, R4, R8",R0402,4,1K,C11702
"R14, R15, R16, R17, R5, R6",R0402,6,33,C25105
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,BQ24075RGTR,C15464
U2,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3TRG1,C51118
U3,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U4,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q16JVUXIQ,C2843335
U5,CONN-SMD_SM03B-SRSS-TB-LF-SN-P,1,SM03B-SRSS-TB(LF)(SN)(P),C160403
U6,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DW12TR,C189624
U7,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357AETE+T,C910544
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,OSC-SMD_4P-L2.5-W2.0-BL,1,TXM12M0004252FBCEO00T,C284155
